Age [ka BP],Mo [ppm],U [ppm],ID,Core,t_transition_start,t_transition_end,tsid
9.08295,14.62603543,8.960328567,S1,MS21,10.5,9.7,1
9.08814,11.48648978,9.968696394,S1,MS21,10.5,9.7,1
9.09322,11.61424481,5.974026279,S1,MS21,10.5,9.7,1
9.0983,16.58585248,6.264650212,S1,MS21,10.5,9.7,1
9.10338,18.56119667,8.326861994,S1,MS21,10.5,9.7,1
9.10846,17.27923404,3.370859931,S1,MS21,10.5,9.7,1
9.11342,13.3310898,4.125625683,S1,MS21,10.5,9.7,1
9.11826,13.74490285,7.267326702,S1,MS21,10.5,9.7,1
9.1231,19.1295959,8.176753238,S1,MS21,10.5,9.7,1
9.12794,16.03854201,6.676709739,S1,MS21,10.5,9.7,1
9.13278,14.17952198,7.446488549,S1,MS21,10.5,9.7,1
9.13769,12.71858737,7.129890464,S1,MS21,10.5,9.7,1
9.14267,17.88428404,11.77572414,S1,MS21,10.5,9.7,1
9.14765,10.09632248,7.940618936,S1,MS21,10.5,9.7,1
9.15263,16.11234677,10.90653842,S1,MS21,10.5,9.7,1
9.15761,13.04950349,11.40032774,S1,MS21,10.5,9.7,1
9.16256,21.83087739,10.18546141,S1,MS21,10.5,9.7,1
9.16748,15.55681792,9.994115136,S1,MS21,10.5,9.7,1
9.1724,14.45600776,8.716923801,S1,MS21,10.5,9.7,1
9.17732,12.52308143,7.393621816,S1,MS21,10.5,9.7,1
9.18224,13.11659979,10.90783662,S1,MS21,10.5,9.7,1
9.18722,13.64291006,6.570593939,S1,MS21,10.5,9.7,1
9.19226,9.457786668,7.611043762,S1,MS21,10.5,9.7,1
9.1973,13.90412422,11.50559119,S1,MS21,10.5,9.7,1
9.20234,15.47551741,14.99318972,S1,MS21,10.5,9.7,1
9.20738,12.82773482,6.939279019,S1,MS21,10.5,9.7,1
9.21239,13.14097718,6.474584614,S1,MS21,10.5,9.7,1
9.21737,18.01991487,7.96120376,S1,MS21,10.5,9.7,1
9.22235,22.6916058,3.978879839,S1,MS21,10.5,9.7,1
9.22733,13.34034538,7.337488557,S1,MS21,10.5,9.7,1
9.23231,13.33308986,7.209469717,S1,MS21,10.5,9.7,1
9.23729,18.93119554,9.132707563,S1,MS21,10.5,9.7,1
9.24227,16.43817809,4.434092036,S1,MS21,10.5,9.7,1
9.24725,21.63758369,9.996624576,S1,MS21,10.5,9.7,1
9.25223,11.00154736,4.547646578,S1,MS21,10.5,9.7,1
9.25721,14.87784511,11.71590293,S1,MS21,10.5,9.7,1
9.26223,21.16587428,11.81496702,S1,MS21,10.5,9.7,1
9.26729,16.24217636,7.511015581,S1,MS21,10.5,9.7,1
9.27235,11.70689264,8.172756687,S1,MS21,10.5,9.7,1
9.27741,9.88298665,5.314488453,S1,MS21,10.5,9.7,1
9.28247,11.66505366,8.099723346,S1,MS21,10.5,9.7,1
9.28747,14.5236955,8.243573149,S1,MS21,10.5,9.7,1
9.29241,13.92649158,6.962438022,S1,MS21,10.5,9.7,1
9.29735,14.75514794,5.045596612,S1,MS21,10.5,9.7,1
9.30229,10.40321023,3.28678351,S1,MS21,10.5,9.7,1
9.30723,18.58619427,10.32955388,S1,MS21,10.5,9.7,1
9.31218,9.713406451,4.732688541,S1,MS21,10.5,9.7,1
9.31714,12.12122839,7.633768997,S1,MS21,10.5,9.7,1
9.3221,17.80803009,7.300415992,S1,MS21,10.5,9.7,1
9.32706,12.62820619,7.973367298,S1,MS21,10.5,9.7,1
9.33202,13.30408588,7.2179056,S1,MS21,10.5,9.7,1
9.33703,10.74825749,8.515260848,S1,MS21,10.5,9.7,1
9.34209,15.30875759,7.422928992,S1,MS21,10.5,9.7,1
9.34715,16.93050384,11.53814226,S1,MS21,10.5,9.7,1
9.35221,14.42285625,12.82059084,S1,MS21,10.5,9.7,1
9.35727,12.53397208,6.193456294,S1,MS21,10.5,9.7,1
9.36238,12.75325191,5.352156126,S1,MS21,10.5,9.7,1
9.36754,11.71973029,5.526332478,S1,MS21,10.5,9.7,1
9.3727,9.387898593,5.330400733,S1,MS21,10.5,9.7,1
9.37786,15.34657568,8.908835137,S1,MS21,10.5,9.7,1
