Age [ka BP],Depth [m],Al [ppm],Ba [ppm],Mo [ppm],Ti [ppm],U [ppm]
4.102,0.228,60061,165,3,4636,1
4.115,0.229,61150,168,4,4684,2
4.128,0.230,59177,181,3,4643,2
4.142,0.231,57864,164,4,4658,2
4.155,0.232,63315,181,5,4963,3
4.168,0.233,62893,218,5,4820,3
4.182,0.234,63998,182,6,4997,2
4.195,0.235,62238,156,4,4916,2
4.208,0.236,61660,172,3,5025,2
4.221,0.237,61342,168,4,4864,1
4.235,0.238,59008,172,3,4848,2
4.248,0.239,59684,173,4,4525,3
4.261,0.240,60422,178,4,4563,2
4.274,0.241,56929,137,3,4505,2
4.287,0.242,57574,133,2,4615,2
4.301,0.243,60008,184,4,4672,2
4.314,0.244,58438,158,2,4513,2
4.328,0.245,59211,143,3,4507,2
4.341,0.246,57506,140,3,4468,1
4.354,0.247,61157,158,2,4620,2
4.369,0.248,61092,160,2,4557,3
4.386,0.249,61867,123,3,4742,3
4.403,0.250,62237,100,3,4827,1
4.419,0.251,60974,111,4,4781,2
4.436,0.252,62462,150,2,4679,1
4.454,0.253,58926,162,2,4416,1
4.475,0.254,60541,132,3,4601,2
4.495,0.255,58999,128,4,4524,2
4.515,0.256,60004,168,3,4498,2
4.535,0.257,61194,155,3,4534,3
4.555,0.258,59171,158,2,4428,1
4.576,0.259,61350,148,2,4535,2
4.596,0.260,61683,173,3,4630,2
4.617,0.261,61842,148,4,4734,2
4.637,0.262,61755,171,4,4581,3
4.657,0.263,64410,174,4,4814,2
4.678,0.264,65817,132,3,4980,1
4.698,0.265,64533,188,3,4719,1
4.719,0.266,67725,168,3,4788,1
4.739,0.267,65537,122,2,5095,1
4.759,0.268,64166,158,3,4843,2
4.780,0.269,63300,96,4,4827,3
4.800,0.270,61848,147,2,4575,1
4.820,0.271,64124,115,4,4534,2
4.841,0.272,62970,175,4,4542,1
4.861,0.273,61399,241,3,4414,2
4.881,0.274,62919,170,6,4570,2
4.902,0.275,64530,209,4,4254,2
4.922,0.276,66016,208,4,4414,2
4.942,0.277,69176,167,4,4619,2
4.963,0.278,65478,155,3,4609,3
4.983,0.279,63797,144,3,4608,2
5.004,0.280,62697,158,3,4729,2
5.024,0.281,63621,227,3,4628,2
5.045,0.282,65290,144,4,4978,4
5.066,0.283,67445,212,3,4998,2
5.086,0.284,69628,162,3,4920,5
5.106,0.285,69067,212,2,4761,2
5.127,0.286,67680,227,5,4860,2
5.147,0.287,67501,188,4,5099,4
5.167,0.288,67149,180,3,5135,2
5.188,0.289,66694,201,4,5011,3
5.208,0.290,68007,160,3,5261,2
5.228,0.291,68875,258,5,4987,6
5.249,0.292,67952,213,5,5071,3
5.269,0.293,68836,233,4,5191,3
5.290,0.294,69323,197,5,4953,2
5.310,0.295,68952,201,3,5091,2
5.330,0.296,69989,181,3,5164,4
5.351,0.297,67734,162,3,5036,3
5.369,0.298,70364,230,3,4994,3
5.387,0.299,71317,192,4,5141,2
5.404,0.300,70501,188,3,5181,3
5.421,0.301,70167,209,4,5251,4
5.438,0.302,68871,199,4,5255,2
5.454,0.303,68760,271,4,5339,3
5.468,0.304,68575,213,2,5356,2
5.482,0.305,69782,208,4,5435,5
5.497,0.306,69103,213,3,5402,3
5.511,0.307,68918,217,4,5219,3
5.525,0.308,67852,236,4,5054,3
5.539,0.309,68683,171,3,5235,3
5.554,0.310,67228,242,5,5035,7
5.568,0.311,66551,229,3,4940,4
5.582,0.312,67694,229,5,5016,4
5.596,0.313,68769,231,3,5154,5
5.610,0.314,68299,222,3,5069,3
5.625,0.315,66901,188,4,5075,4
5.639,0.316,66227,191,4,5014,3
5.653,0.317,65742,174,4,4972,1
5.668,0.318,66535,233,4,4918,5
5.682,0.319,67144,277,5,4978,3
5.696,0.320,66501,276,4,4955,4
5.710,0.321,66092,298,4,4867,5
5.724,0.322,66494,260,4,4902,4
5.738,0.323,67446,253,5,4961,3
5.752,0.324,64227,287,6,4947,4
5.767,0.325,64627,232,3,4913,4
5.781,0.326,67161,287,6,5100,4
5.795,0.327,67338,378,5,4972,4
5.809,0.328,65283,317,5,4838,5
5.824,0.329,65259,277,4,4987,4
5.838,0.330,64792,317,4,4832,7
5.852,0.331,67233,337,3,4962,7
5.866,0.332,66641,293,3,4846,4
5.881,0.333,65786,221,4,4886,7
5.895,0.334,66612,201,5,4969,6
5.910,0.335,67043,276,4,4966,6
5.924,0.336,64164,205,5,4972,3
5.938,0.337,67592,286,5,5081,6
5.953,0.338,67357,260,7,5059,5
5.967,0.339,66121,344,7,4874,4
5.982,0.340,65530,318,5,4847,8
5.996,0.341,64950,231,4,5099,6
6.011,0.342,65823,259,5,5198,5
6.025,0.343,66443,308,4,5211,5
6.039,0.344,64848,259,4,5198,6
6.054,0.345,64353,187,5,5375,6
6.068,0.346,62736,212,8,5340,4
6.083,0.347,63899,325,5,5133,5
6.097,0.348,64536,377,8,5066,9
6.111,0.349,65009,329,5,5172,6
6.125,0.350,65117,250,3,5262,4
6.139,0.351,64918,244,6,5327,4
6.153,0.352,62803,294,6,4904,9
6.166,0.353,62190,272,5,4994,6
6.180,0.354,65675,280,6,5225,7
6.194,0.355,68065,290,6,5338,3
6.208,0.356,65711,271,4,5239,9
6.222,0.357,65656,373,6,5183,6
6.235,0.358,65625,323,5,5389,7
6.249,0.359,64893,377,8,5187,7
6.263,0.360,64834,231,5,5286,7
6.276,0.361,66125,340,5,5307,6
6.290,0.362,65411,294,4,5221,8
6.304,0.363,65105,362,4,5191,8
6.317,0.364,65941,364,2,5157,7
6.331,0.365,65969,434,4,5166,13
6.345,0.366,65978,350,5,5113,8
6.358,0.367,66974,353,2,5115,5
6.372,0.368,67799,368,5,5135,4
6.386,0.369,67007,413,4,5083,9
6.399,0.370,67609,391,4,5138,5
6.413,0.371,66356,372,4,5172,7
6.427,0.372,65110,414,4,5041,7
6.441,0.373,67219,369,6,5074,10
6.454,0.374,67145,371,6,4976,8
6.468,0.375,68073,354,4,5062,12
6.482,0.376,66842,335,4,5126,8
6.495,0.377,67315,323,6,5183,8
6.509,0.378,67023,357,4,4917,7
6.523,0.379,67785,389,4,4908,8
6.537,0.380,67746,359,5,4964,9
6.550,0.381,68846,375,5,5082,7
6.564,0.382,69744,347,6,5175,8
6.578,0.383,70253,387,5,5187,9
6.592,0.384,67628,404,6,5078,10
6.606,0.385,66710,398,5,4981,4
6.620,0.386,66254,337,3,4926,5
6.634,0.387,66938,423,5,4898,6
6.647,0.388,67978,433,6,4978,11
6.661,0.389,65151,432,4,4796,10
6.675,0.390,66644,483,6,4848,7
6.689,0.391,68487,436,9,5029,10
6.702,0.392,64097,336,5,4731,6
6.716,0.393,65488,406,7,4781,7
6.730,0.394,66800,474,5,4878,10
6.743,0.395,66279,423,6,4863,10
6.757,0.396,67169,455,6,5004,13
6.771,0.397,65150,396,4,4850,9
6.783,0.398,68095,447,9,4923,8
6.794,0.399,65135,381,6,4839,8
6.805,0.400,64987,395,7,4850,9
6.816,0.401,67154,357,6,5026,7
6.827,0.402,67164,399,7,4902,8
6.836,0.403,66149,371,9,4828,6
6.844,0.404,66111,402,6,4870,9
6.852,0.405,67341,361,6,4992,9
6.860,0.406,67182,398,7,4890,9
6.868,0.407,65362,449,7,4844,10
6.876,0.408,68349,410,7,5073,10
6.884,0.409,67761,374,7,4973,13
