Age [ka BP],Depth [m],Al [ppm],Ba [ppm],Mo [ppm],Ti [ppm],U [ppm]
40.591,3.548,88148,242,2,7928,4
40.610,3.549,85962,218,2,7925,3
40.628,3.550,87238,237,2,8020,3
40.647,3.551,85888,236,3,7853,3
40.666,3.552,86300,260,1,7957,3
40.685,3.553,86016,258,1,7801,3
40.704,3.554,85705,284,2,7720,3
40.723,3.555,85389,213,2,7934,4
40.743,3.556,85364,204,1,7982,2
40.762,3.557,85141,264,2,7835,2
40.781,3.558,85100,284,2,7794,3
40.800,3.559,85461,292,1,7625,3
40.819,3.560,86534,248,1,7711,3
40.839,3.561,85249,307,2,7492,3
40.858,3.562,85582,279,2,7625,2
41.068,3.573,86013,255,1,7806,3
41.088,3.574,84016,239,3,7824,3
41.107,3.575,85108,215,2,7844,3
41.241,3.582,83468,346,2,7742,5
41.260,3.583,84736,320,2,7927,4
41.279,3.584,84614,326,2,7950,4
41.298,3.585,84892,324,2,7953,1
41.317,3.586,83918,330,3,7878,2
41.336,3.587,84635,389,4,8114,4
41.355,3.588,86056,399,2,7820,2
41.374,3.589,84935,282,2,8240,2
41.393,3.590,86487,426,2,7920,4
41.412,3.591,85273,336,2,7986,3
41.431,3.592,84086,383,2,8389,3
41.450,3.593,84976,273,2,8174,3
41.468,3.594,84541,283,2,7963,2
41.487,3.595,83258,354,2,8031,3
41.506,3.596,84970,363,2,7920,3
41.525,3.597,84220,314,3,8120,1
41.543,3.598,83863,330,1,7829,3
41.561,3.599,83557,374,2,7763,2
41.579,3.600,81792,327,2,7729,2
41.597,3.601,85770,420,3,7582,7
41.615,3.602,82095,295,2,7606,3
41.633,3.603,82090,290,3,7496,2
41.651,3.604,82573,342,2,7600,5
41.668,3.605,83953,330,3,8290,2
41.685,3.606,81121,234,2,7601,4
41.703,3.607,80405,327,3,7759,3
41.720,3.608,81858,322,2,7581,4
41.738,3.609,79504,353,2,7859,3
41.756,3.610,79897,240,3,7892,3
41.773,3.611,82437,342,2,8041,2
41.791,3.612,79841,282,2,7919,2
41.808,3.613,81185,220,3,8313,3
41.826,3.614,83454,290,2,7936,3
41.844,3.615,82512,344,2,7787,3
41.861,3.616,81545,313,2,8011,3
41.879,3.617,79829,327,2,7932,4
41.897,3.618,78858,294,2,8007,1
41.914,3.619,79978,287,1,8002,1
41.932,3.620,79586,306,3,8104,2
41.949,3.621,82761,266,2,8164,3
41.966,3.622,81595,323,3,8447,4
41.984,3.623,79640,299,2,8071,2
42.002,3.624,81174,332,1,7993,2
42.020,3.625,81736,342,2,7816,3
42.038,3.626,81779,378,2,7905,3
42.056,3.627,82905,299,2,8032,2
42.073,3.628,82099,373,3,7814,3
42.091,3.629,79871,356,1,7329,3
42.109,3.630,81731,289,3,7550,4
42.127,3.631,79179,286,2,8077,2
42.145,3.632,80986,329,2,7875,3
42.162,3.633,80918,310,2,7738,3
42.180,3.634,80112,295,2,8143,2
42.199,3.635,80277,271,2,7649,3
42.217,3.636,80043,263,2,7980,2
42.235,3.637,80615,293,1,8052,2
42.253,3.638,78816,249,1,8090,1
42.271,3.639,80768,253,2,7602,1
42.289,3.640,81297,303,2,7825,4
42.307,3.641,82595,247,2,7973,2
42.325,3.642,80905,270,1,8072,2
42.342,3.643,81983,278,3,7734,3
42.360,3.644,81587,282,4,7729,2
42.378,3.645,79110,281,3,7692,2
42.396,3.646,81880,295,2,7994,2
42.414,3.647,80479,284,2,7827,3
42.432,3.648,81446,261,2,7627,2
42.450,3.649,81987,326,2,8021,4
42.468,3.650,80883,258,2,7953,3
42.486,3.651,81038,300,3,8092,2
42.504,3.652,80927,276,2,8419,3
42.523,3.653,79155,278,2,7975,2
42.542,3.654,82642,356,2,7782,2
42.561,3.655,82301,416,2,7947,3
42.579,3.656,81800,243,2,8155,2
42.598,3.657,81502,298,2,7986,3
42.617,3.658,82933,241,2,8028,3
42.636,3.659,81295,277,3,7746,3
42.655,3.660,80900,270,1,7932,2
42.674,3.661,81164,257,1,8506,4
42.693,3.662,82523,281,2,8169,3
42.712,3.663,80706,305,1,7935,3
42.731,3.664,81198,311,3,7941,3
42.750,3.665,81761,314,2,7999,2
42.769,3.666,81181,305,3,7984,3
42.788,3.667,84044,362,2,7845,1
42.807,3.668,82826,308,2,7739,2
42.825,3.669,83857,314,2,7814,3
42.844,3.670,80978,277,1,7745,2
42.863,3.671,81704,303,3,7872,3
42.882,3.672,81118,287,1,7666,4
42.901,3.673,81640,287,2,8042,3
42.920,3.674,82570,289,2,7974,2
42.939,3.675,80453,310,2,7830,3
42.958,3.676,81654,264,1,7663,3
42.977,3.677,80611,262,2,7832,3
42.995,3.678,81185,266,1,7667,2
43.014,3.679,80591,282,2,7549,3
43.033,3.680,80676,195,2,7777,3
43.051,3.681,81696,173,2,7805,1
43.070,3.682,79874,291,2,7480,2
43.089,3.683,80320,312,2,7334,3
43.108,3.684,81378,315,2,7541,2
43.127,3.685,80777,237,2,7619,3
43.146,3.686,81062,258,2,7627,2
43.165,3.687,81943,281,2,7649,3
43.184,3.688,80208,209,3,7620,2
43.203,3.689,80856,286,2,7625,2
43.222,3.690,80478,268,2,7494,2
43.241,3.691,79845,246,3,7670,2
43.260,3.692,79765,278,3,7468,5
43.279,3.693,80564,273,4,7628,3
43.298,3.694,79948,220,3,7789,3
43.317,3.695,78543,256,2,7431,2
43.336,3.696,78326,272,1,7306,1
43.355,3.697,78582,254,2,7526,2
43.374,3.698,77918,220,2,7791,2
43.394,3.699,77262,247,2,7429,2
43.413,3.700,77330,253,2,7293,3
43.432,3.701,78169,240,1,7343,3
43.451,3.702,77543,243,2,7553,3
43.471,3.703,79276,339,2,7390,3
43.490,3.704,77724,302,2,7645,3
43.510,3.705,78388,316,3,7827,3
43.529,3.706,77550,282,2,7578,3
43.549,3.707,78292,238,4,8047,3
43.569,3.708,78851,302,5,7874,5
43.588,3.709,77345,288,2,7846,3
43.608,3.710,77517,368,3,7800,2
43.628,3.711,78706,281,2,7741,4
43.648,3.712,78971,325,4,7774,3
43.668,3.713,77354,241,3,7831,2
43.688,3.714,77289,283,2,7595,3
43.708,3.715,78184,234,2,7555,4
43.728,3.716,78538,254,2,7453,3
43.748,3.717,78876,261,2,7712,4
43.767,3.718,77795,327,1,7334,3
43.787,3.719,76022,212,1,7372,2
43.807,3.720,78899,264,2,7544,2
43.827,3.721,79843,324,2,7847,5
43.846,3.722,78587,278,4,7674,3
43.866,3.723,77656,286,2,7606,2
43.886,3.724,77710,234,2,7491,2
43.906,3.725,77926,243,2,7426,4
43.926,3.726,77118,241,2,7550,1
43.945,3.727,77566,251,2,7636,2
43.965,3.728,77694,306,2,7435,2
43.986,3.729,76812,349,2,7115,4
44.006,3.730,76938,255,2,7720,2
44.026,3.731,76693,286,3,7584,3
44.046,3.732,76589,268,2,7500,3
44.066,3.733,77705,299,4,7763,3
44.086,3.734,75707,271,3,7768,2
44.106,3.735,77463,334,2,7526,4
44.126,3.736,76180,270,3,7396,3
44.146,3.737,77108,275,2,7536,2
44.166,3.738,77527,289,2,7642,3
44.186,3.739,77065,233,3,7599,3
44.206,3.740,77305,298,2,8108,2
44.226,3.741,77824,295,3,8188,3
44.246,3.742,77244,283,2,7787,3
44.266,3.743,78241,334,2,8001,4
44.287,3.744,77515,318,3,7679,3
44.307,3.745,76101,280,2,7912,2
44.327,3.746,78204,280,4,8099,4
44.347,3.747,76815,226,1,7801,2
44.366,3.748,77579,283,2,7782,2
44.385,3.749,78573,277,1,8023,2
44.404,3.750,79131,279,1,8009,2
44.423,3.751,79026,328,2,8239,4
44.442,3.752,76350,268,2,7886,2
44.460,3.753,77507,263,1,7666,2
44.478,3.754,79081,256,1,7820,1
44.495,3.755,78859,221,1,7779,2
44.513,3.756,78538,235,1,7757,2
44.531,3.757,78363,209,1,7846,2
44.549,3.758,79528,288,2,7900,3
44.567,3.759,78882,267,1,7503,2
44.585,3.760,79979,257,1,7596,1
44.602,3.761,79989,316,1,7715,2
44.620,3.762,79764,297,2,7543,2
44.638,3.763,79351,238,1,7864,2
44.656,3.764,81402,295,1,7877,3
44.675,3.765,81669,303,1,7657,2
44.693,3.766,83762,328,2,8174,2
44.711,3.767,85848,429,2,7900,3
44.729,3.768,86039,290,1,7950,3
44.747,3.769,84341,265,1,7771,2
44.765,3.770,85229,349,1,7733,2
44.783,3.771,87310,305,1,7515,2
44.801,3.772,86036,253,1,7396,2
44.819,3.773,86205,324,1,7658,2
44.837,3.774,84980,244,1,7880,2
44.855,3.775,85286,314,1,7472,2
44.873,3.776,85651,326,2,7386,2
44.891,3.777,83044,278,1,7371,3
44.909,3.778,83110,254,1,8066,3
44.926,3.779,81160,232,1,7890,2
44.944,3.780,83430,215,1,7969,2
44.962,3.781,80257,250,2,7872,2
44.980,3.782,83361,229,2,7873,3
44.998,3.783,82275,225,2,7741,3
45.016,3.784,82292,225,1,7921,2
45.034,3.785,82747,273,2,7962,2
45.053,3.786,81782,250,2,8030,1
45.071,3.787,83297,313,3,7862,3
45.089,3.788,85128,239,2,8269,2
45.107,3.789,83276,221,2,8102,2
45.125,3.790,83985,313,1,7897,2
45.142,3.791,81963,251,2,7869,3
45.160,3.792,82188,255,2,7779,2
45.178,3.793,82444,240,3,8118,2
45.197,3.794,81902,265,4,8054,2
45.215,3.795,83324,314,2,7744,2
45.234,3.796,81818,277,1,7880,2
45.252,3.797,82856,315,2,8100,3
45.270,3.798,80539,221,2,8076,2
45.288,3.799,82603,260,1,8183,2
45.306,3.800,82217,282,3,7994,3
45.324,3.801,82246,273,1,7861,3
45.341,3.802,82566,239,2,7981,2
45.359,3.803,82223,282,1,7960,3
45.376,3.804,82566,280,2,8095,2
45.394,3.805,83449,319,2,8245,2
45.411,3.806,82048,249,4,8534,3
45.429,3.807,81038,246,2,7975,2
45.446,3.808,81343,236,2,8181,2
45.464,3.809,83155,190,2,8408,3
45.482,3.810,83179,262,2,8034,3
45.500,3.811,81308,210,2,8338,2
45.518,3.812,80261,277,2,8076,2
45.536,3.813,80759,261,3,8408,3
45.553,3.814,81166,295,1,7949,3
45.571,3.815,82658,261,2,8128,3
45.588,3.816,82729,324,2,8010,2
45.606,3.817,83936,276,2,8443,3
45.623,3.818,84158,320,2,8126,5
45.641,3.819,84154,264,2,8225,1
45.659,3.820,82109,297,2,8196,3
45.677,3.821,83917,258,2,8221,2
45.695,3.822,81766,238,3,8314,2
45.712,3.823,83113,321,2,8289,3
45.730,3.824,84076,316,2,8474,2
45.748,3.825,81774,252,2,8226,3
45.766,3.826,83119,307,3,8061,5
45.784,3.827,83116,237,1,8223,2
45.802,3.828,84308,298,2,8155,2
45.820,3.829,84411,217,3,8383,2
45.838,3.830,84203,245,2,8088,3
45.856,3.831,85858,279,2,8139,3
45.873,3.832,83919,208,2,7953,2
45.891,3.833,82849,305,2,8027,3
45.909,3.834,81520,245,2,8350,2
45.927,3.835,84150,276,2,8185,3
45.945,3.836,84294,231,1,8086,2
45.963,3.837,84395,256,3,8302,2
45.981,3.838,84800,288,1,7856,2
45.998,3.839,83700,190,1,8048,1
46.016,3.840,82596,267,2,8089,2
46.034,3.841,82767,207,3,8256,2
46.051,3.842,84012,244,2,8193,2
46.069,3.843,82890,272,2,7868,3
46.087,3.844,82257,206,1,8200,2
46.104,3.845,83166,279,3,8394,1
46.122,3.846,82713,319,3,7974,2
46.140,3.847,84416,312,3,8189,3
46.158,3.848,84168,284,2,7965,3
46.176,3.849,84615,284,2,7996,2
46.194,3.850,89209,329,3,7819,2
46.213,3.851,90027,255,3,7840,2
46.231,3.852,85912,274,2,7993,3
46.250,3.853,83605,330,2,8170,3
46.268,3.854,82033,267,3,8328,4
46.287,3.855,85371,282,2,8072,2
46.306,3.856,82551,289,4,8153,5
46.325,3.857,83881,347,3,8554,4
46.344,3.858,82704,299,3,8156,3
46.363,3.859,84631,341,3,8083,4
46.382,3.860,84236,310,4,8154,3
46.402,3.861,82731,344,2,7922,2
46.421,3.862,82989,301,2,7897,1
46.440,3.863,81070,273,3,7966,3
46.459,3.864,81743,340,3,7647,4
46.479,3.865,83788,303,3,7695,3
46.498,3.866,82650,284,2,7839,3
46.518,3.867,82466,292,3,8070,2
46.537,3.868,82266,272,3,8024,3
46.556,3.869,84137,374,2,7877,2
46.576,3.870,80825,283,2,7921,2
46.595,3.871,81184,299,4,8082,2
46.614,3.872,82423,319,1,7929,4
46.634,3.873,80527,291,3,7991,2
46.653,3.874,80652,279,3,8042,2
46.672,3.875,81255,327,2,7878,3
46.691,3.876,81212,317,4,8271,5
46.711,3.877,80648,325,3,7904,4
46.730,3.878,81289,304,4,7984,3
46.749,3.879,81118,309,3,8009,4
46.769,3.880,81140,358,4,7965,3
46.788,3.881,82967,349,4,7881,4
46.808,3.882,79109,264,2,7800,3
46.827,3.883,79008,260,3,8055,3
46.846,3.884,78674,268,2,8047,3
46.865,3.885,80991,297,4,8275,4
46.884,3.886,80696,272,2,8219,3
46.903,3.887,77239,263,3,8091,4
46.922,3.888,79299,261,3,7784,4
46.942,3.889,79014,266,3,8017,2
46.961,3.890,77638,275,3,7950,4
46.981,3.891,79271,324,2,8016,3
47.000,3.892,78171,269,4,8266,3
47.020,3.893,76332,248,3,8263,3
47.039,3.894,77027,323,4,7901,2
47.059,3.895,77145,273,2,8053,3
47.078,3.896,76060,299,2,7934,2
47.097,3.897,77301,265,3,7920,3
47.116,3.898,76253,262,2,7882,1
47.135,3.899,75941,301,2,7690,2
47.154,3.900,75123,216,2,7544,2
47.172,3.901,76790,304,3,7787,3
47.191,3.902,76639,263,3,8151,1
47.209,3.903,74169,261,2,7555,1
47.227,3.904,74747,192,1,7603,1
47.244,3.905,75552,206,2,7359,2
47.262,3.906,77363,241,2,7492,2
47.280,3.907,75870,293,2,7308,2
47.298,3.908,75764,269,2,7133,3
47.315,3.909,76514,293,2,7513,2
47.333,3.910,77143,194,4,8056,2
47.351,3.911,75919,234,2,7498,2
47.368,3.912,75644,322,2,7409,1
47.386,3.913,74230,224,2,7575,2
47.404,3.914,77020,220,3,7674,2
47.422,3.915,75494,206,2,7697,1
47.440,3.916,74919,235,1,7426,2
47.458,3.917,74396,264,2,7243,2
47.476,3.918,75501,256,2,7181,2
47.494,3.919,76501,293,3,7277,2
47.512,3.920,76339,321,3,7272,2
47.530,3.921,76611,285,2,7343,2
47.548,3.922,74409,308,2,7188,2
47.566,3.923,74782,298,2,7206,2
47.584,3.924,74928,273,1,7309,2
47.602,3.925,74348,233,1,7424,2
47.620,3.926,74986,310,2,7194,2
47.638,3.927,76041,321,2,7300,2
47.656,3.928,75839,313,2,7260,2
47.674,3.929,75246,247,2,7356,1
47.692,3.930,75096,203,2,7869,1
47.711,3.931,73448,244,2,7141,2
47.729,3.932,73738,273,3,7570,2
47.747,3.933,71728,335,2,6895,2
47.765,3.934,72800,262,1,6727,2
47.783,3.935,72903,312,2,6911,2
47.801,3.936,71415,277,2,7026,1
47.819,3.937,74264,287,2,6969,1
47.837,3.938,72122,280,2,6942,2
47.856,3.939,72495,237,2,7169,2
47.874,3.940,73432,256,2,7046,2
47.892,3.941,72684,247,1,6869,2
47.910,3.942,72853,275,2,6740,2
47.928,3.943,73414,285,2,6835,3
47.946,3.944,77004,327,3,7577,3
47.964,3.945,74810,253,2,6823,1
47.982,3.946,75208,269,2,7012,2
48.000,3.947,75020,252,2,7066,1
48.018,3.948,75536,228,2,7418,3
48.035,3.949,75769,264,2,7474,2
48.052,3.950,76000,248,2,7629,3
48.069,3.951,75267,326,2,7208,3
48.087,3.952,76841,288,3,7535,3
48.103,3.953,76190,258,3,7665,2
48.119,3.954,77033,281,2,7609,3
48.134,3.955,80576,330,3,8414,3
48.150,3.956,77157,293,1,7607,2
48.166,3.957,75989,255,1,7593,2
48.181,3.958,72998,272,2,7713,1
48.197,3.959,76789,242,1,7991,1
48.213,3.960,77089,265,3,7898,2
48.228,3.961,77581,298,2,7870,3
48.244,3.962,79407,360,4,8128,2
48.259,3.963,76985,278,3,8022,4
48.275,3.964,78331,308,3,7991,2
48.291,3.965,78597,277,4,7471,3
48.307,3.966,80246,321,3,7508,5
48.322,3.967,79004,336,3,7917,3
48.338,3.968,79216,327,3,7728,2
48.354,3.969,81124,289,4,8296,3
48.370,3.970,81249,381,5,7966,3
48.386,3.971,82830,294,4,8239,2
48.402,3.972,83715,403,3,7894,4
48.418,3.973,82861,343,3,7674,2
48.434,3.974,84036,389,3,7714,3
48.450,3.975,83646,301,4,8152,4
48.466,3.976,84093,290,3,8277,3
48.482,3.977,83361,307,2,7987,3
48.498,3.978,84496,328,5,8261,3
48.514,3.979,84871,261,4,8646,2
48.530,3.980,84240,357,6,8618,2
48.545,3.981,81756,304,5,8720,2
48.561,3.982,83555,308,2,8422,2
48.577,3.983,81190,260,2,8247,1
48.592,3.984,83137,288,2,8005,3
48.608,3.985,81120,301,1,8103,2
48.623,3.986,81953,251,2,8160,2
48.639,3.987,81137,304,2,7698,2
48.654,3.988,83103,258,3,8271,3
48.669,3.989,84072,296,3,8259,2
48.685,3.990,84484,287,2,8047,3
48.700,3.991,80757,326,2,7998,2
48.715,3.992,81489,291,2,8135,2
48.731,3.993,81487,277,2,8494,2
48.746,3.994,82006,275,2,8170,2
48.761,3.995,81765,216,2,7971,1
48.777,3.996,83327,305,2,7849,2
48.792,3.997,83174,260,1,7852,2
48.808,3.998,85718,224,2,7879,2
48.823,3.999,83940,236,2,7717,2
48.838,4.000,82232,270,2,7875,1
48.853,4.001,82833,212,2,8137,2
48.868,4.002,81005,237,2,7737,2
48.884,4.003,83502,223,3,7591,1
48.899,4.004,84135,293,2,7697,1
48.914,4.005,85408,297,4,8192,2
48.929,4.006,86583,315,2,8196,3
48.944,4.007,83322,278,2,8104,2
48.959,4.008,82764,308,2,7776,2
48.974,4.009,83098,246,2,8048,2
48.989,4.010,84030,334,3,7558,3
49.004,4.011,85243,309,2,7681,2
49.019,4.012,85972,311,3,7913,2
49.034,4.013,85206,298,3,8063,3
49.049,4.014,86532,368,2,8343,3
49.064,4.015,85330,280,2,8296,1
49.079,4.016,84784,341,3,8029,2
49.094,4.017,84587,237,2,7939,2
49.109,4.018,85180,383,1,7159,3
49.125,4.019,87092,209,2,7711,1
49.140,4.020,86207,322,2,7972,2
49.155,4.021,84816,341,2,8030,1
49.170,4.022,86720,275,2,7934,2
49.186,4.023,85747,310,2,7706,3
49.200,4.024,87428,368,3,7948,3
49.215,4.025,86617,332,3,7466,5
49.230,4.026,85864,239,3,8123,2
49.245,4.027,85804,285,2,7932,5
49.260,4.028,84890,264,3,8202,2
49.275,4.029,82718,297,4,8028,3
49.290,4.030,82647,330,3,8066,4
49.305,4.031,84002,268,3,8140,3
49.320,4.032,84545,301,2,7921,4
49.335,4.033,82186,341,5,8182,2
49.350,4.034,82226,237,3,7947,2
49.365,4.035,80770,234,2,8250,4
49.379,4.036,82951,283,2,8177,3
49.394,4.037,82882,298,4,8117,3
49.409,4.038,85217,253,2,7909,4
49.424,4.039,83858,260,2,8006,3
49.439,4.040,83490,246,1,7914,2
49.453,4.041,85478,311,1,8083,3
49.468,4.042,85326,275,3,8442,4
49.483,4.043,84927,297,3,8316,3
49.497,4.044,87885,402,2,7804,2
49.512,4.045,86656,310,2,7808,2
49.527,4.046,85247,251,1,8141,1
49.542,4.047,85579,326,3,8018,4
49.556,4.048,88463,292,3,7879,3
49.571,4.049,85656,298,3,8042,2
49.586,4.050,86966,306,2,7807,3
49.600,4.051,86817,280,3,7634,2
49.615,4.052,86834,355,3,7749,4
49.630,4.053,84977,296,2,7724,3
49.644,4.054,84535,249,1,7798,1
49.659,4.055,83602,287,2,7815,2
49.674,4.056,82008,269,1,8343,2
49.689,4.057,80596,216,2,7991,3
49.704,4.058,80246,294,3,7888,2
49.719,4.059,84658,281,2,7746,4
49.734,4.060,85439,269,2,7525,2
49.749,4.061,84406,336,3,7779,3
49.764,4.062,83642,281,3,7655,3
49.778,4.063,83746,238,2,8229,2
49.793,4.064,85751,284,2,8193,2
49.808,4.065,82368,307,1,7742,1
49.823,4.066,81324,239,2,7902,2
49.838,4.067,84157,215,1,8089,2
49.853,4.068,83674,295,1,7720,1
49.868,4.069,81857,243,2,7933,4
49.883,4.070,81379,231,2,7983,2
49.898,4.071,82192,327,2,7828,2
49.913,4.072,81579,272,2,7794,1
49.928,4.073,81649,248,2,8063,2
49.942,4.074,80555,301,1,7753,2
49.957,4.075,81076,294,2,7700,2
49.972,4.076,81965,245,1,7839,2
49.987,4.077,81327,212,1,7958,2
50.002,4.078,82111,251,2,7920,2
50.017,4.079,83125,279,4,7982,5
50.032,4.080,83705,220,1,7877,2
50.047,4.081,81475,287,2,7691,3
50.062,4.082,83680,238,1,7891,2
50.076,4.083,83311,296,2,7839,2
50.091,4.084,82826,236,2,8027,1
50.106,4.085,83797,247,1,8014,2
50.120,4.086,83221,234,2,7836,3
50.135,4.087,82561,206,1,7836,2
50.150,4.088,80823,285,2,7694,3
50.165,4.089,80643,256,1,7634,2
50.179,4.090,80924,249,2,7612,3
50.194,4.091,82958,238,2,7773,2
50.209,4.092,83345,231,2,7803,2
50.224,4.093,84291,192,2,8065,2
50.238,4.094,84569,276,2,8065,3
50.253,4.095,84527,211,2,7932,2
50.267,4.096,84867,254,2,7737,1
50.282,4.097,84224,222,2,7894,2
50.296,4.098,85008,290,3,7776,3
50.311,4.099,85123,274,2,7903,3
50.326,4.100,84899,315,2,7721,4
50.341,4.101,84014,273,3,7791,3
50.355,4.102,82352,264,2,7810,2
50.370,4.103,83352,196,1,8044,3
50.385,4.104,83709,242,2,7871,4
50.400,4.105,84845,251,2,7737,2
50.415,4.106,82566,213,2,7629,3
50.430,4.107,85836,237,2,7899,2
50.445,4.108,83690,321,1,8211,3
50.461,4.109,84103,267,1,7888,2
50.476,4.110,85481,304,2,8017,2
50.491,4.111,85381,255,1,8158,2
50.506,4.112,83626,260,1,8003,2
50.521,4.113,84217,325,2,7935,3
50.536,4.114,81742,229,2,8028,3
50.551,4.115,82355,235,1,7918,1
50.566,4.116,82026,210,1,7941,3
50.581,4.117,82930,269,1,7736,3
50.596,4.118,84033,249,2,7823,3
50.611,4.119,82697,172,1,8116,2
50.627,4.120,82309,171,1,8012,2
50.642,4.121,80110,220,1,7976,1
50.657,4.122,82520,287,1,7918,2
50.672,4.123,82627,230,1,7926,2
50.687,4.124,85448,243,1,8137,2
50.702,4.125,83388,238,1,8047,1
50.717,4.126,84303,218,1,7918,1
50.732,4.127,83683,264,2,7830,2
50.747,4.128,84692,252,2,7933,2
50.762,4.129,84378,255,3,7961,3
50.777,4.130,85306,240,2,7808,4
50.792,4.131,86941,217,3,7885,3
50.807,4.132,86472,274,4,7635,4
50.822,4.133,85810,241,3,7793,2
50.836,4.134,87219,277,2,7752,3
50.851,4.135,87018,171,2,7834,1
50.866,4.136,86057,227,2,7748,3
50.880,4.137,86640,250,1,7325,4
50.895,4.138,88047,302,2,7300,2
50.910,4.139,85825,330,2,7096,3
50.925,4.140,86706,270,2,7444,3
50.940,4.141,88052,369,2,7055,5
50.955,4.142,87893,327,2,7112,4
50.970,4.143,89060,282,3,7306,3
50.984,4.144,89102,310,2,7237,5
50.998,4.145,86225,258,3,7398,4
51.013,4.146,88272,332,4,7274,4
51.027,4.147,91073,217,3,7360,3
51.042,4.148,91937,331,2,7087,4
51.057,4.149,91996,326,5,6974,4
51.072,4.150,89645,285,3,7245,4
51.088,4.151,88660,374,3,7184,3
51.103,4.152,90357,338,3,7342,3
51.118,4.153,88031,325,2,7372,4
51.133,4.154,88732,246,3,7543,3
51.149,4.155,89246,333,2,7254,2
51.164,4.156,86041,279,2,7533,3
51.179,4.157,86237,289,2,7399,3
51.195,4.158,88263,222,2,7741,4
51.210,4.159,87658,314,2,7378,2
51.226,4.160,87307,306,3,7420,3
51.241,4.161,88472,287,3,7373,3
51.256,4.162,87677,285,2,7433,3
51.272,4.163,86137,235,3,7309,2
51.287,4.164,88402,264,3,7398,4
51.302,4.165,87824,329,3,7297,5
51.317,4.166,88566,213,3,7739,2
51.332,4.167,88512,283,3,7278,2
51.348,4.168,88127,265,5,7155,4
51.363,4.169,87042,219,4,7233,4
51.378,4.170,87185,375,3,6985,2
51.393,4.171,88898,299,3,7176,5
51.408,4.172,88684,367,4,7285,3
51.424,4.173,90288,355,4,7315,5
51.439,4.174,88911,280,3,7472,3
51.454,4.175,89231,274,3,7411,3
51.469,4.176,87056,214,3,7317,2
51.484,4.177,90382,315,3,7535,4
51.500,4.178,90418,275,3,7474,3
51.515,4.179,90566,312,3,7252,4
51.530,4.180,91429,305,2,7458,4
51.545,4.181,91505,288,2,7388,2
51.560,4.182,88787,281,2,7293,2
51.576,4.183,87150,320,2,7085,4
51.591,4.184,86421,289,1,7627,2
51.606,4.185,87733,228,2,7623,3
51.621,4.186,87407,259,2,7427,3
51.636,4.187,87024,195,1,7723,1
51.651,4.188,86320,234,1,7988,3
51.666,4.189,84887,271,1,7446,3
51.682,4.190,86653,290,2,7375,3
51.697,4.191,85513,305,2,7404,3
51.712,4.192,87271,240,2,7429,2
51.727,4.193,86851,325,2,7518,3
51.742,4.194,85091,247,2,7680,3
51.757,4.195,84987,194,2,7725,1
51.772,4.196,85385,250,2,7630,3
51.787,4.197,85444,221,2,7680,3
51.802,4.198,86652,262,1,7500,2
51.818,4.199,85871,202,1,7879,2
51.834,4.200,85162,266,2,7414,4
51.849,4.201,89473,370,1,7231,3
51.865,4.202,90720,294,1,7710,2
51.880,4.203,87207,242,2,7932,1
51.895,4.204,86047,262,1,7848,3
51.911,4.205,87592,295,1,7916,2
51.926,4.206,85131,250,2,7900,2
51.941,4.207,83470,244,1,7807,2
51.956,4.208,82131,192,2,7722,2
51.972,4.209,82204,221,2,8018,3
51.987,4.210,83514,292,2,7695,2
52.003,4.211,83751,245,3,7828,3
52.018,4.212,83289,242,2,7900,2
52.034,4.213,81336,285,2,7908,2
52.049,4.214,82842,227,2,8077,2
52.064,4.215,83839,213,3,8045,2
52.080,4.216,80395,278,1,7566,3
52.095,4.217,82265,213,2,7828,2
52.110,4.218,81775,291,1,7750,1
52.126,4.219,81762,239,1,7888,1
52.141,4.220,84167,250,2,7900,1
52.157,4.221,84098,291,1,7950,2
52.172,4.222,82978,279,2,7624,2
52.188,4.223,85513,258,2,8162,3
52.203,4.224,82402,262,2,8029,2
52.219,4.225,82951,261,2,7964,2
52.234,4.226,81355,182,1,7647,1
52.249,4.227,80478,266,2,7464,3
52.265,4.228,83074,249,1,7456,2
52.280,4.229,80996,247,1,7745,2
52.296,4.230,82422,275,1,7521,2
52.311,4.231,81147,264,1,7344,2
52.327,4.232,80990,302,2,7670,3
52.342,4.233,79701,323,2,7491,2
52.357,4.234,79722,259,1,7539,2
52.373,4.235,79202,259,1,7928,1
52.388,4.236,80791,289,1,7792,2
52.404,4.237,80330,225,2,8004,2
52.419,4.238,80696,282,2,7488,2
52.435,4.239,81925,315,1,7453,2
52.450,4.240,79787,273,1,7425,2
52.465,4.241,80419,296,1,7575,2
52.481,4.242,79783,224,1,7639,2
52.496,4.243,81222,347,1,7374,2
52.511,4.244,83138,335,2,7629,2
52.526,4.245,83580,284,1,7685,2
52.542,4.246,81627,303,1,7384,2
52.557,4.247,83363,344,2,7593,3
52.572,4.248,80763,271,1,7675,1
52.587,4.249,82009,381,2,7668,2
52.602,4.250,83224,261,2,7373,2
52.617,4.251,80082,309,2,7321,3
52.633,4.252,82629,349,2,7573,3
52.648,4.253,85902,354,2,7679,3
52.663,4.254,86582,383,4,7749,3
52.678,4.255,83691,325,3,7612,3
52.693,4.256,82795,269,2,7573,1
52.709,4.257,84693,351,4,7588,4
52.724,4.258,81876,265,2,7506,2
52.738,4.259,85180,378,2,7475,3
52.753,4.260,88848,252,2,7057,3
